index,time,open,high,low,close,volume
0,2026-03-27 04:00:00,99.85299682617188,99.86799621582031,99.83999633789062,99.84700012207031,0
1,2026-03-27 04:15:00,99.84600067138672,99.85399627685547,99.83499908447266,99.84200286865234,0
2,2026-03-27 04:30:00,99.84100341796875,99.84500122070312,99.8219985961914,99.822998046875,0
3,2026-03-27 04:45:00,99.822998046875,99.83399963378906,99.81500244140625,99.8219985961914,0
4,2026-03-27 05:00:00,99.8219985961914,99.83499908447266,99.8030014038086,99.80500030517578,0
5,2026-03-27 05:15:00,99.80500030517578,99.84600067138672,99.80400085449219,99.84400177001953,0
6,2026-03-27 05:30:00,99.84400177001953,99.86699676513672,99.82599639892578,99.82599639892578,0
7,2026-03-27 05:45:00,99.82499694824219,99.8499984741211,99.80400085449219,99.84400177001953,0
8,2026-03-27 06:00:00,99.84300231933594,99.85700225830078,99.81700134277344,99.8219985961914,0
9,2026-03-27 06:15:00,99.81999969482422,99.85700225830078,99.81400299072266,99.8479995727539,0
10,2026-03-27 06:30:00,99.84700012207031,99.875,99.84300231933594,99.85900115966797,0
11,2026-03-27 06:45:00,99.86000061035156,99.89700317382812,99.86000061035156,99.89299774169922,0
12,2026-03-27 07:00:00,99.89399719238281,99.9280014038086,99.89399719238281,99.91899871826172,0
13,2026-03-27 07:15:00,99.91899871826172,99.98799896240234,99.91899871826172,99.98699951171875,0
14,2026-03-27 07:30:00,99.98699951171875,100.00599670410156,99.96900177001953,100.00199890136719,0
15,2026-03-27 07:45:00,100.00299835205078,100.0260009765625,99.96199798583984,100.01399993896484,0
16,2026-03-27 08:00:00,100.01399993896484,100.02899932861328,99.98100280761719,99.99400329589844,0
17,2026-03-27 08:15:00,99.99299621582031,100.01799774169922,99.97599792480469,99.97799682617188,0
18,2026-03-27 08:30:00,99.97799682617188,100.00700378417969,99.9540023803711,99.96900177001953,0
19,2026-03-27 08:45:00,99.96900177001953,99.9990005493164,99.96499633789062,99.98400115966797,0
20,2026-03-27 09:00:00,99.98500061035156,100.04499816894531,99.9800033569336,100.01000213623047,0
21,2026-03-27 09:15:00,100.01000213623047,100.01899719238281,99.96199798583984,99.97899627685547,0
22,2026-03-27 09:30:00,99.97899627685547,100.00599670410156,99.95600128173828,99.99400329589844,0
23,2026-03-27 09:45:00,99.99299621582031,100.02400207519531,99.99299621582031,100.01200103759766,0
24,2026-03-27 10:00:00,100.01200103759766,100.01799774169922,99.96199798583984,100.00199890136719,0
25,2026-03-27 10:15:00,100.00199890136719,100.01599884033203,99.96099853515625,99.96499633789062,0
26,2026-03-27 10:30:00,99.96399688720703,100.05000305175781,99.95999908447266,100.04499816894531,0
27,2026-03-27 10:45:00,100.04499816894531,100.06999969482422,100.02799987792969,100.06500244140625,0
28,2026-03-27 11:00:00,100.06500244140625,100.07599639892578,100.04100036621094,100.05400085449219,0
29,2026-03-27 11:15:00,100.05500030517578,100.0719985961914,100.03800201416016,100.0510025024414,0
30,2026-03-27 11:30:00,100.0510025024414,100.072998046875,100.04100036621094,100.05999755859375,0
31,2026-03-27 11:45:00,100.06099700927734,100.11799621582031,100.05999755859375,100.10299682617188,0
32,2026-03-27 12:00:00,100.10299682617188,100.14800262451172,100.10199737548828,100.13800048828125,0
33,2026-03-27 12:15:00,100.13700103759766,100.14900207519531,100.08100128173828,100.09700012207031,0
34,2026-03-27 12:30:00,100.09700012207031,100.13099670410156,100.06600189208984,100.06700134277344,0
35,2026-03-27 12:45:00,100.06600189208984,100.0719985961914,100.04499816894531,100.06600189208984,0
36,2026-03-27 13:00:00,100.06500244140625,100.08599853515625,100.04399871826172,100.07499694824219,0
37,2026-03-27 13:15:00,100.072998046875,100.07499694824219,99.98699951171875,100.00599670410156,0
38,2026-03-27 13:30:00,100.00599670410156,100.0459976196289,99.9530029296875,99.95899963378906,0
39,2026-03-27 13:45:00,99.95800018310547,100.00900268554688,99.93000030517578,100.00499725341797,0
40,2026-03-27 14:00:00,99.9990005493164,100.00199890136719,99.93199920654297,99.93800354003906,0
41,2026-03-27 14:15:00,99.93499755859375,99.96299743652344,99.9020004272461,99.96299743652344,0
42,2026-03-27 14:30:00,99.96099853515625,99.97899627685547,99.93099975585938,99.9749984741211,0
